postid,tags,title,question,answers,Related
1353,issue,"error in codesandbox from v5.1.0: ""sh: opencollective: command not found""",error in codesandbox from v sh opencollective command not found Observed Behaviour dependency error in default codesandbox with Current Behaviour ok in codesandbox with inferno and previous,Hi Thanks for reporting this issue I think this is bug in open collective package I opened ticket for has the opencollective version from v to v oddly HTTP errors seem to occur when downloading infernofrom cloudfront before the opencollective error when following the corresponding are no such errors with could this be an issue with caching npm packages by We cache the dependencies using Amazon Cloudfront all over the world Our sandbox also runs faster because we now only parse and execute the relevant JS files for your sandbox or is the json file absent from the npm package filed a corresponding issue with codesandbox issue solved in codesandbox,Unsure
887,pr,Use Hamster::Set in checksummer for speed,Use Hamster Set in checksummer for speed Using Ruby s in an immutable way is slow from is significantly faster Example s rarr s Fixes,,Yes
538,issue,Memory leak due to unsubcribption of events,Memory leak due to unsubcribption of events gqqnbig CodePlex I used ChildWindow in version and found ChildWindow couldn t be garbage collected because it subscribed parentContainer LayoutUpdated and other events and didn t unsubcribe them Now I update to version and there is still no unsubcribption statements Please examine the issue in the whole project and fix it,,Yes
1751,issue,Should API consumer send id_token or access_token for openIDConnect security scheme,Should API consumer send id token or access token for openIDConnect security scheme With the addition of the security scheme object type in v I find the spec ambiguous on whether the API consumer should be sending an or an to the API From my understanding this may not have been an issue in v since there was only instead of and Since OpenIDConnect flows can provide both id tokens and access which token type should be sent to the API Does specifying an auth type of imply that an should be used while implies that an should be used If so I think this information should be explicit in the spec instead of implied If not could you comment on whether or not consumers should always be sending an for both and security scheme types,Ping do we need more clarity in the spec here My understanding was that the such as was used in place of the fields to obtain the necessary oAuth configuration flows scopes etc to connect with the described API Though I m not sure on the specific question of vs posed above Whether the consumer should be sending an vs an seems like an important part of the spec can anyone comment on whether OASv can does tell the consumer which token type should be sent to the API Hi there The problem is complex is the OpenID Connect Provider also an OAuth Authorization Server for the API Are the access token opaque tokens or JWTs etc but in short id tokens are JWTs intended for Client Applications use not for Resource Server API use id tokens are there so that the Client Application can authenticate the end user they contain potentially sensitive information about the end user that you as the Client Application developer owner might not be allowed to transmit to the Resource Server the API So don t send id tokens but access tokens to the API The API can then invoke the token introspection endpoint to get information about the end user and the scopes the client application requested Hope it helps Phil Thanks for the detailed reply Phil It would be great to see this guidance appear within the spec itself to help eliminate confusion for API consumers Yes it would be helpful to include this guidance specs This is an important aspect that is often not understood,Yes
2,issue,NotImplemented exception when doing a challenge for cookies middleware,NotImplemented exception when doing a challenge for cookies middleware Looks like K has a IdnMapping class stub with no implementation An unhandled exception occurred while processing the request NotImplementedException The method or operation is not implemented Microsoft AspNet Abstractions HostString IdnMapping GetAscii String unicode Int index Int count Stack Query Cookies Headers Environment NotImplementedException The method or operation is not implemented Microsoft AspNet Abstractions HostString IdnMapping GetAscii String unicode Int index Int count Microsoft AspNet Abstractions HostString ToUriComponent Microsoft AspNet Abstractions HostString ToString System String Concat Object args Microsoft AspNet Security Cookies CookieAuthenticationHandler ApplyResponseChallenge Microsoft AspNet Security Infrastructure AuthenticationHandler ApplyResponseCore Microsoft AspNet Security Infrastructure AuthenticationHandler b System Threading LazyInitializer EnsureInitializedCore T T target Boolean initialized Object syncLock Func valueFactory Microsoft AspNet Security Infrastructure AuthenticationHandler ApplyResponse Microsoft AspNet Security Infrastructure AuthenticationHandler OnSendingHeaderCallback Object state Microsoft AspNet Server WebListener Response NotifyOnSendingHeaders Microsoft AspNet Server WebListener Response ComputeHeaders Boolean endOfRequest Microsoft AspNet Server WebListener ResponseStream ComputeLeftToWrite Boolean endOfRequest Microsoft AspNet Server WebListener ResponseStream WriteAsync Byte buffer Int offset Int size CancellationToken cancel System IO Stream WriteAsync Byte buffer Int offset Int count Microsoft AspNet PipelineCore DefaultHttpResponse WriteAsync String data Startup b HttpContext context in Startup cs return context Response WriteAsync Authenticate,Fixed,Yes
17616,pr,bpo-39055: Reject a trailing \n in base64.b64decode() with validate=True.,bpo Reject a trailing in base b decode with validate True ,Thanks for the PR I m working now to backport this PR to is a backport of this pull request to the is a backport of this pull request to the,Yes
7136,issue,static URL containing parameters re encoded ,static URL containing parameters re encoded When providing a string URL for an image resource for an entitiy material or a SingleTileImageryProvider where the url includes query parameters the URL that is fetched has parameters extracted url encoded and the recombined to form a new url a url defined as has the endpoint fetched a hash code is needed that is generated from the url parameter string hashCode someHashFunction imageApi location the url requested should be hash code is becomes invalid because the following is things to work hashCode someHashFunction imageApi location C,Hi I m sorry I don t entirely understand the problem here What is making your second query parameter invalid,Yes
2619,pr,[hp|compute_v2] added security group support,hp compute v added security group support This PR adds security groups to the compute v services for the HP A lot of this code was re used from the compute service Do you want to give this a quick glance I also noticed that out of the providers that support security groups aws hp and openstack all three of have a slightly different interface I added to match the aws interface but I wonder if we should take the time to define a common interface for SecurityGroups I am leaning towards the OpenStack implementation as it has a much more OO interface Thoughts,could you review yeah seems like it might be about time to think more about a consistent security group interface Doing it now and maintaining backwards compatibility will be somewhat challenging but probably worth doing Coverage remained the same when pulling e e faa e f b af b a on rackspace hp security groups into de f f e c ef f ffca ad on fog master Coverage increased when pulling ec b bce d f b bf e c d on rackspace hp security groups into aa a f b d ac ad cda e a on fog master could you take a look We were hoping to get this in prior to release and hoping to release in the next day or two Thanks I don t want to slow down the next release and I don t foresee this causing negative impacts in the next release so I am just going to merge no worries not a big rush just like to keep the ball rolling The main reason why security groups are missing in the new compute v provider is that we want to discourage the use of the old Nova security groups and want users to use the new Neutron security groups If you want to use the old security groups we intend users to use the older compute provider I was curious why you wanted to add security groups to the new compute v provider sorry I kept you guys waiting but I was travelling No problem I totally missed security groups in the network service Basically I am working on a workshop for sxsw that demonstrates how fog allows you to easily switch between AWS HP and Rackspace Security Groups seems to be one of the areas that fog differs between providers Let me see if I can rework my example and revert this commit BTW what are the differences between the v and v versions of the provider Mostly the differences are in compute and blockstorage which have a V version The security groups being the majority of the change with some subtle API changes based on what was changed in Grizzly Backup Volumes API changed in BlockStorage otherwise it is the same Rest is in the changelog Let me know if you want any more details Thanks can you let me know when this is sorted out I presume I should wait for this before I cut a release Thanks Will do I should have time to look at this in the next hour Chances are I am just going to revert these changes sure no hurry really I d like to release some time this week but doesn t have to be today I am tempted to use the v provider for my workshop because the abstraction works better with the current aws implementation How long is the v provider going to be around it won t be there too long V is way much better I reverted this changes in pr thanks a lot,Yes
2758,issue,OAuth._redirectUri not using OAuth._loginStyle,OAuth redirectUri not using OAuth loginStyle line in OAuth redirectUri implementation is using directly the service config document loginStyle property which might be NOT defined when you use the service configuration package directly by code the docs use this here you happen to define your own login system without service configuration wizard which is always setting a valid loginStyle and setting up service config by hand in the server code you probably won t define the loginStyle property because you want Meteor to guess it by itself using the OAuth loginStyle logic Long story short you ll end up having a bad redirect URI with close appended and your oauth will fail The solution is quite simple the code should use OAuth loginStyle instead of tapping directly in the service config doc,You re right We forgot to update our docs to encourage users manually configuring their services to include their default login style Your suggestion doesn t quite work because the point of the line in question is to tell the difference between old style configuration and new style configuration Your code should just be using new style configuration Thanks for this clarification,Yes
625,issue,Problem re-signing application due to provision profile name inconsistency,Problem re signing application due to provision profile name inconsistency What App Center service does this affect Name of service or sdk with the issue Describe the bug If provision profile in app center is not named exactly that of the application on iOS it will fail to resign app for a tester I think Further info found,this shouldn t happen we match the provisioning profile in the app with one in your developer portal We don t store the provisioning profile only download them from Apple s developer portal Can you share the error message or a screenshot This issue has been automatically closed because there has been no response to our request for more information within days If you still need any assistance please reopen the issue or submit a new one,Yes
1229,issue,Review *ToMessageDecoder.decode(...)  and *ToMessageEncoder.encode(..) methods,Review ToMessageDecoder decode and ToMessageEncoder encode methods While and me talked about some issue which is related to folding we agreed that our current way to handle folding is kind of a design flaw We want to remove folding completely if possible to simplify things For this we also want to revisit the ToMessageDecoder decode and ToMessageEncoder encode method At the moment they look like this for example This may should more look like There are few issues that may make it hard It is not so easy to extend and intercept the decoded message to change it This is for example done by MarshallingDecoder We could fix this by using some kind of MessageBuf wrapper that does the convert under the hood It is harder to handle the case of handling ByteBufs which may need to get written to a ByteBuf if the next handler in the pipeline is of type Channel ByteHandler We could do this again by some special wrapper which will intercept add offer and just write it to the next ByteBuf if needed,I also start to wonder if it may not give sometimes bad side effects when we automatically write ByteBuf messages to the next ByteBuf in the pipeline I think for encoders outbound it may not so much an issue But I wonder for inbound as it may screw up framing WDYT I think it is fine A decoder could provide an overridable factory method like this Note that we should not add a decoded message to the next handler s buffer directly because we have to handler s we have to allow a user filtering messages like you mentioned and the decoder has to determine if the decode method decoded anything easily I should have mention that I started to work on this already damn Hope you not also started I used something similar to newDecoderOutput The only downside is that we need to make now the double amount of offer poll then before and also allocate extra objects memory But those should be relative cheap An other issue is where to store the reference If we store the reference in a field we will force all sub classes to be non We could also store it in the attributes of the context put this would allocate the map and so also take up memory wdyt In fact in our ByteToMessageEncoder we use fields and so not allow But I think we should fix it here ok I had some more thoughts on this and also did some prototyping I think we should not allow the user to intercept MessageBuf calls What we should do is to just have an extra decode method in the classes that we think that should be extendable which return one object at one time So in this case the user could just override this method and use it like before This would for example be true for FixedLengthFrameDecoder Why I think we should not allow to intercept is for a few reasons The conversion from one type to an other while be in the MessageBuf add method may want to throw an exception Which must be wrapped in a RuntimeException then The intercepter may surpress a message but the implementation he extend may depend on the fact that it is added So I think it is more clear if we just not allow it Re having a field I wonder if we can rely on escape analysis i e allocate decoder encoderOutput for every decode encode Re Throwing an exception we could allow to throw any exception and then use internally Re An interceptor that suppresses a message that s obviously a user fault Usually a user just should use so I don t think this is a problem By the way there s no in our API If you meant why should we make it sharable,Unsure
25678,pr,doc: remove outdated s_client information in tls.md,doc remove outdated s client information in tls md There is a description of how to use s client for testing of renegotiation limits in the module documentation The information is somewhat out of scope but it also may be somewhat problematic due to changes peculiarities bugs in recent s client Remove the text Refs you for your pull request Please provide a description above and review the requirements below Bug fixes and new features should include tests and possibly benchmarks Contributors guide Checklist x UNIX or Windows passes x documentation is changed or added x commit message follows commit,build started Landed in cb,Unsure
2430,issue,"After upgrading to traccar server 3.7, I can not login.",After upgrading to traccar server I can not login Hi After upgrading to traccar server I can not login I get Incorrect email address or password Any help,Looking better at log files can you send me an mysql script to create missing field and tables and when I try to register a new user I get and another error You clearly haven t done update correctly If you use correct configuration it should automatically update database schema using I have fixed database issues but I can t connect I have reset admin password with and tried to login with admin and password and I still get Incorrect email address or password Check the API call error in the browser developer console,Yes
